D:\data\MAPPING\JULY20A-GARTNET.b\MAPPING.d
Intensity Vs Time,CPS
Acquired      : 2016/7/20 14:58:22 using Batch JULY20A-GARTNET.b
Time [Sec],Li7,B11,Na23,Mg25,Al27,Si29,P31,K39,Ca42,Sc45,Ti49,V51,Cr53,Mn55,Fe57,Co59,Ni60,Cu63,Zn66,Ga71,Rb85,Sr88,Y89,Zr90,Sn118,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,W182,Au197,Pb208,Th232,U238
7.3728,200.00,600.01,77397.68,0.00,900.03,82525.64,20714.27,56707.37,5400.98,500.01,200.00,100.00,700.02,9903.32,600.01,0.00,200.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
7.9319,200.00,400.01,76191.57,100.00,600.01,81620.72,20313.72,59518.27,5701.09,100.00,200.00,400.01,900.03,12405.20,200.00,0.00,400.01,0.00,0.00,0.00,200.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.4909,200.00,300.00,79106.49,0.00,900.03,84134.52,18211.03,56506.61,4300.62,0.00,0.00,0.00,400.01,10803.95,400.01,0.00,300.00,0.00,0.00,100.00,300.00,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.0499,500.01,600.01,75588.56,0.00,700.02,85542.41,19412.53,61425.96,5100.87,0.00,0.00,100.00,500.01,11904.79,500.01,0.00,200.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9.6090,500.01,100.00,78402.84,0.00,1200.05,85642.99,19112.14,57911.98,5300.94,500.01,0.00,0.00,300.00,12405.20,400.01,0.00,200.00,0.00,0.00,0.00,300.00,0.00,0.00,0.00,600.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.1680,200.00,600.01,82524.70,0.00,500.01,83128.95,19512.66,60020.27,5501.01,500.01,0.00,100.00,400.01,11604.55,200.00,0.00,200.00,100.00,0.00,0.00,300.00,0.00,0.00,0.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10.7271,200.00,100.00,80413.36,0.00,600.01,81821.81,19612.79,57008.51,4200.59,300.00,0.00,0.00,200.00,10703.87,600.01,0.00,200.00,100.00,0.00,0.00,200.00,0.00,0.00,0.00,900.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.2861,0.00,200.00,82323.61,0.00,500.01,77599.54,18811.77,60120.67,5501.01,100.00,0.00,100.00,200.00,12705.46,700.02,0.00,500.01,0.00,0.00,0.00,300.00,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11.8452,0.00,500.01,84032.98,0.00,1000.03,78705.26,19913.18,61225.14,6401.37,600.01,0.00,100.00,200.00,8602.50,600.01,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12.4042,100.00,300.00,82323.61,100.00,600.01,74282.87,20313.72,60321.48,4900.80,300.00,0.00,200.00,100.00,10303.59,400.01,100.00,200.00,200.00,0.00,0.00,300.00,0.00,100.00,0.00,900.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
